VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD3.x, TEXCOORD3.y
1572, 9340,  17.63227,  12.11391, -98.53812,  0.5504,  0.18771,  0.20806, -0.01602,  0.97799,  0.12345,  0.08341
1573, 9339,  17.63361,  12.78679, -98.5275,  0.5504,  0.18206,  0.20535, -0.01609,  0.97856,  0.12093,  0.08341
1574, 9324,  16.83686,  12.75094, -98.70999,  0.55531,  0.18206, -0.39691, -0.01612,  0.91772,  0.12093,  0.08117
1575, 9324,  16.83686,  12.75094, -98.70999,  0.55531,  0.18206, -0.39691, -0.01612,  0.91772,  0.12093,  0.08117
1576, 9325,  16.84211,  12.1139, -98.71902,  0.55533,  0.18771, -0.40089, -0.01644,  0.91598,  0.12345,  0.08117
1577, 9340,  17.63227,  12.11391, -98.53812,  0.5504,  0.18771,  0.20806, -0.01602,  0.97799,  0.12345,  0.08341
1578, 9325,  16.84211,  12.1139, -98.71902,  0.55533,  0.18771, -0.40089, -0.01644,  0.91598,  0.12345,  0.08117
1579, 9324,  16.83686,  12.75094, -98.70999,  0.55531,  0.18206, -0.39691, -0.01612,  0.91772,  0.12093,  0.08117
1580, 9323,  16.25385,  12.7288, -99.10947,  0.55966,  0.18206, -0.90049, -0.01872,  0.43447,  0.12093,  0.07919
1581, 9323,  16.25385,  12.7288, -99.10947,  0.55966,  0.18206, -0.90049, -0.01872,  0.43447,  0.12093,  0.07919
1582, 9326,  16.26398,  12.11391, -99.1152,  0.55966,  0.18771, -0.89862, -0.01858,  0.43834,  0.12345,  0.07919
1583, 9325,  16.84211,  12.1139, -98.71902,  0.55533,  0.18771, -0.40089, -0.01644,  0.91598,  0.12345,  0.08117
1584, 10941, -17.6224,  12.78679, -98.5275,  0.5504,  0.18206, -0.20535, -0.01609,  0.97856,  0.11982,  0.13579
1585, 10939, -18.43557,  12.7288, -99.13712,  0.54428,  0.18206, -0.75116, -0.0157,  0.65993,  0.11982,  0.13844
1586, 10940, -18.42745,  12.1139, -99.14261,  0.54428,  0.18771, -0.75239, -0.01558,  0.65854,  0.12233,  0.13844
1587, 10938, -18.90633,  12.1139, -99.99997,  0.53827,  0.18771, -0.99413, -0.01928, -0.10641,  0.12233,  0.14115
1588, 10940, -18.42745,  12.1139, -99.14261,  0.54428,  0.18771, -0.75239, -0.01558,  0.65854,  0.12233,  0.13844
1589, 10939, -18.43557,  12.7288, -99.13712,  0.54428,  0.18206, -0.75116, -0.0157,  0.65993,  0.11982,  0.13844
1590, 10940, -18.42745,  12.1139, -99.14261,  0.54428,  0.18771, -0.75239, -0.01558,  0.65854,  0.12233,  0.13844
1591, 10942, -17.62106,  12.1139, -98.53812,  0.5504,  0.18771, -0.20806, -0.01602,  0.97799,  0.12233,  0.13579
1592, 10941, -17.6224,  12.78679, -98.5275,  0.5504,  0.18206, -0.20535, -0.01609,  0.97856,  0.11982,  0.13579
1593, 10928, -16.82565,  12.75094, -98.70999,  0.55531,  0.18206,  0.39691, -0.01612,  0.91772,  0.11982,  0.13355
1594, 10941, -17.6224,  12.78679, -98.5275,  0.5504,  0.18206, -0.20535, -0.01609,  0.97856,  0.11982,  0.13579
