VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
974, 254,  0.0708,  0.05135,  1.2616,  0.90682,  0.64915,  0.1183, -0.20579,  0.97142
975, 254,  0.0708,  0.05135,  1.2616,  0.90682,  0.64915,  0.1183, -0.20579,  0.97142
976, 255,  0.067,  0.03765,  1.2386,  0.90353,  0.6737, -0.15422, -0.97505, -0.15965
977, 256,  0.1315,  0.02525,  1.2248,  0.97442,  0.6737, -0.64114, -0.76259, -0.08603
978, 256,  0.1315,  0.02525,  1.2248,  0.97442,  0.6737, -0.64114, -0.76259, -0.08603
979, 257,  0.1559,  0.03395,  1.2471,  0.97771,  0.64915,  0.36377, -0.24312,  0.8992
980, 254,  0.0708,  0.05135,  1.2616,  0.90682,  0.64915,  0.1183, -0.20579,  0.97142
981, 254,  0.0708,  0.05135,  1.2616,  0.90682,  0.64915,  0.1183, -0.20579,  0.97142
982, 257,  0.1559,  0.03395,  1.2471,  0.97771,  0.64915,  0.36377, -0.24312,  0.8992
983, 258,  0.1323,  0.06135,  1.2336,  0.97771,  0.6329, -0.50473,  0.80389,  0.31466
984, 253,  3.16900E-17,  0.05845,  1.2673,  0.84695,  0.64915, -8.82064E-10, -0.13655,  0.99063
985, 254,  0.0708,  0.05135,  1.2616,  0.90682,  0.64915,  0.1183, -0.20579,  0.97142
986, 259,  0.0679,  0.07435,  1.2475,  0.90682,  0.6329,  0.16666,  0.94275,  0.28887
987, 258,  0.1323,  0.06135,  1.2336,  0.97771,  0.6329, -0.50473,  0.80389,  0.31466
988, 259,  0.0679,  0.07435,  1.2475,  0.90682,  0.6329,  0.16666,  0.94275,  0.28887
989, 254,  0.0708,  0.05135,  1.2616,  0.90682,  0.64915,  0.1183, -0.20579,  0.97142
990, 259,  0.0679,  0.07435,  1.2475,  0.90682,  0.6329,  0.16666,  0.94275,  0.28887
991, 260,  4.76469E-17,  0.07895,  1.2522,  0.84695,  0.6329,  3.09250E-16,  0.96222,  0.27228
992, 253,  3.16900E-17,  0.05845,  1.2673,  0.84695,  0.64915, -8.82064E-10, -0.13655,  0.99063
993, 253,  3.16900E-17,  0.05845,  1.2673,  0.84695,  0.64915, -8.82064E-10, -0.13655,  0.99063
994, 260,  4.76469E-17,  0.07895,  1.2522,  0.84695,  0.6329,  3.09250E-16,  0.96222,  0.27228
995, 252, -0.0679,  0.07435,  1.2475,  0.90682,  0.6329, -0.16666,  0.94275,  0.28887
996, 261,  0.0671,  0.06225,  1.2204,  0.90682,  0.61591, -0.0893,  0.29833, -0.95028
997, 259,  0.0679,  0.07435,  1.2475,  0.90682,  0.6329,  0.16666,  0.94275,  0.28887
998, 258,  0.1323,  0.06135,  1.2336,  0.97771,  0.6329, -0.50473,  0.80389,  0.31466
999, 258,  0.1323,  0.06135,  1.2336,  0.97771,  0.6329, -0.50473,  0.80389,  0.31466
1000, 262,  0.1454,  0.04475,  1.2058,  0.97771,  0.61591,  0.01426,  0.19085, -0.98152
